id_hex,id_imovel,titulo,url,preco,descricao,quartos,suites,banheiros,vagas,area,bairro,imagem,imagens,imobiliaria,data_extracao
d46b961dd99f,dfimoveis_1304258,"Rua COPAIBA, SUL, AGUAS CLARAS",/imovel/loja-0-quartos-aluguel-sul-aguas-claras-df-rua-copaiba-1304258,6500,"Excelente PONTO COMERCIAL para o seu negócio em uma das regiões mais valorizadas do DF!

Localizada na RUA COPAÍBA ED. R... 13/02/26",N/A,N/A,N/A,1 Vaga,181 m²,Águas Claras,https://img.dfimoveis.com.br/fotos/1304258/074fc270b6dd516186286bad53425ed2.webp,['https://img.dfimoveis.com.br/fotos/1304258/074fc270b6dd516186286bad53425ed2.webp'],Mônica Rodrigues ,2026-08-30T15:02:17.885662
0a6637b3eb8b,dfimoveis_1179403,"SQS 303 Bloco F, ASA SUL, BRASILIA",/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-303-bloco-f-1179403,12500,"SQS 303 | Belíssimo apartamento, 2 suítes para venda/aluguel, 170 M² - Asa Sul - Brasília/DF

Apartamento Exclusivo à Ve... 10/06/25",2 Quartos,2 Suítes,N/A,1 Vaga,170 m²,Asa Sul,https://img.dfimoveis.com.br/fotos/1179403/49a7c3b4956e0c492e2a4bf81610fb0d.webp,['https://img.dfimoveis.com.br/fotos/1179403/49a7c3b4956e0c492e2a4bf81610fb0d.webp'],Aguiar de Vasconcelos ,2026-08-30T15:02:17.887958
c9035f9f3d8e,dfimoveis_1368100,"Avenida das Araucárias, SUL, AGUAS CLARAS",/imovel/apartamento-2-quartos-aluguel-sul-aguas-claras-df-avenida-das-araucarias-1368100,3900,"Primeira Locação - Liv635 | 2 Quartos | Pronto para morar | Novo conceito Multifamily em Águas Claras

Morar bem não dev... 12/06/26",2 Quartos,1 Suíte,N/A,N/A,48 m²,Águas Claras,https://img.dfimoveis.com.br/fotos/1368100/1bb9915195bb76c5c6825395677dd920.webp,['https://img.dfimoveis.com.br/fotos/1368100/1bb9915195bb76c5c6825395677dd920.webp'],Liv635,2026-08-30T15:02:17.892579
dd9a0d78aa1a,dfimoveis_1397664,"Ville de Montagne, JARDIM BOTANICO, BRASILIA",/imovel/casa-3-quartos-aluguel-jardim-botanico-brasilia-df-ville-de-montagne-1397664,12000,"Viva com conforto, privacidade e cercado pela natureza em uma das melhores localizações da região.
sta belíssima residên... 16/07/26",3 Quartos,3 Suítes,N/A,5 Vagas,500 m²,Jardim Botânico,https://img.dfimoveis.com.br/fotos/1397664/c1c9b005acb31005f04542499188bf45.webp,['https://img.dfimoveis.com.br/fotos/1397664/c1c9b005acb31005f04542499188bf45.webp'],Magda Imóveis ,2026-08-30T15:02:17.895468
016e5f206312,dfimoveis_1362930,"SQN 202 Bloco G, ASA NORTE, BRASILIA",/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-202-bloco-g-1362930,9500,"TH35331 - Sqn 202 Asa Norte, Apartamento Mobiliado 03 quartos, 3 suítes, 130m². Agende sua visita!  

Um imóvel elegante... 03/06/26",3 Quartos,3 Suítes,N/A,1 Vaga,130 m²,Asa Norte,https://img.dfimoveis.com.br/fotos/1362930/add594a7fea4bd839819e8396e97742c.webp,['https://img.dfimoveis.com.br/fotos/1362930/add594a7fea4bd839819e8396e97742c.webp'],Thaís Imobiliária,2026-08-30T15:02:17.898228
ebc1ca9da3b9,dfimoveis_1268147,"C 07 Lote 07//15, TAGUATINGA CENTRO, TAGUATINGA",/imovel/ponto-comercial-0-quartos-aluguel-taguatinga-centro-taguatinga-df-c-07-lote-07--15-1268147,18900,"Loja Térrea 381,38 m² | C-07 Taguatinga Centro | Metrô a 5 min | Pronta para Uso

Loja comercial térrea com 495,57 m² de... 29/11/25",N/A,N/A,N/A,N/A,381 m²,Taguatinga,https://img.dfimoveis.com.br/fotos/1268147/8f1232b0b5bc9219ef89e18b455e651d.webp,['https://img.dfimoveis.com.br/fotos/1268147/8f1232b0b5bc9219ef89e18b455e651d.webp'],Aguiar de Vasconcelos ,2026-08-30T15:02:17.900351
ffd8cbd8ea87,dfimoveis_1405743,"SQS 312 Bloco F, ASA SUL, BRASILIA",/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-312-bloco-f-1405743,22000,"Alugo apartamento hiper reformado, com 3 Suites e 2 Semi-Suites amplas e sofisticadas !!!     Apartamento hiper reformad... 02/08/26",5 Quartos,3 Suítes,N/A,2 Vagas,288 m²,Asa Sul,https://img.dfimoveis.com.br/fotos/1405743/4e84253fa8e740a65fb1c8fc6daa9f9e.webp,['https://img.dfimoveis.com.br/fotos/1405743/4e84253fa8e740a65fb1c8fc6daa9f9e.webp'],Imobiliária Daniel Lisboa ,2026-08-30T15:02:17.902657
dbdf17fe75ce,dfimoveis_1382315,"SQNW 110, NOROESTE, BRASILIA",/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-110-1382315,12850,"Localizado no Edifício NW110A, este apartamento para locação reúne conforto, praticidade e uma excelente infraestrutura ... 09/07/26",4 Quartos,4 Suítes,N/A,3 Vagas,197 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1382315/3853961547c22ecb19575f810cb1e2ba.webp,['https://img.dfimoveis.com.br/fotos/1382315/3853961547c22ecb19575f810cb1e2ba.webp'],Marco Real Estate,2026-08-30T15:02:17.905160
b93d437bcad0,dfimoveis_913367,"SHTN Trecho 1, ASA NORTE, BRASILIA",/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-913367,4200,"ALUGAMOS LINDO APARTAMENTO
REFORMADO
MOBILIADO
GARANTIA LOCATÍCIA ATRAVÉS DE CAUÇÃO 3 ALUGUÉIS 
VALOR DE R$4.200,00 PARA... 07/02/24",1 Quarto,N/A,N/A,2 Vagas,54 m²,Asa Norte,https://img.dfimoveis.com.br/fotos/913367/0de169c7e4891be50b7125f6095b1c64.webp,['https://img.dfimoveis.com.br/fotos/913367/0de169c7e4891be50b7125f6095b1c64.webp'],Imóveis do DF,2026-08-30T15:02:17.914463
50def0480f7b,dfimoveis_1405939,"SQNW 302 Bloco B, NOROESTE, BRASILIA",/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-302-bloco-b-1405939,25000,"Victor Cruz Negócios Imobiliários LTDA aluga:

SQNW 302 Bloco B, Parque das Oliveiras.

Cobertura duplex 294m2, luxuosa,... 02/08/26",3 Quartos,3 Suítes,N/A,4 Vagas,294 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1405939/b312673e5b161aa6851819485494ed88.webp,['https://img.dfimoveis.com.br/fotos/1405939/b312673e5b161aa6851819485494ed88.webp'],Victor Cruz Negócios Imobiliários,2026-08-30T15:02:17.917082
bcf38011d366,dfimoveis_1345240,"SBN Quadra 02 Bloco F, ASA NORTE, BRASILIA",/imovel/sala-0-quartos-aluguel-asa-norte-brasilia-df-sbn-quadra-02-bloco-f-1345240,29000,"VIA CAPITAL CENTRO EMPRESARIAL | ANDAR CORPORATIVO INTEIRO PARA LOCAÇÃO

Apresente sua empresa em um dos endereços corpo... 30/04/26",N/A,N/A,N/A,20 Vagas,415 m²,Asa Norte,https://img.dfimoveis.com.br/fotos/1345240/92f964bd1bcff9147faf406ef28b1731.webp,['https://img.dfimoveis.com.br/fotos/1345240/92f964bd1bcff9147faf406ef28b1731.webp'],Domos Empreendimentos,2026-08-30T15:02:30.179697
10b4e0839859,dfimoveis_1364458,"SHIN QL 5 Conjunto 7, LAGO NORTE, BRASILIA",/imovel/casa-4-quartos-aluguel-lago-norte-brasilia-df-shin-ql-5-conjunto-7-1364458,13000,"QL 05  CONJ 07 LAGO NORTE CASA MOBILIADA 05 SUITES:  Sofisticação, Conforto e Lazer em um Só Lugar, essa mansão é para p... 06/06/26",5 Quartos,5 Suítes,N/A,4 Vagas,670 m²,Lago Norte,https://img.dfimoveis.com.br/fotos/1364458/68622d1bff45969de3013746a2f80fc0.webp,['https://img.dfimoveis.com.br/fotos/1364458/68622d1bff45969de3013746a2f80fc0.webp'],Realiza Imóveis ,2026-08-30T15:02:30.183581
91f3e558a694,dfimoveis_943999,"SHN Quadra 1 Bloco F, ASA NORTE, BRASILIA",/imovel/sala-0-quartos-aluguel-asa-norte-brasilia-df-shn-quadra-1-bloco-f-943999,54245,"FUTURA NEGÓCIOS IMOBILIÁRIOS disponibiliza para LOCAÇÃO:

Andar Corporativo de Alto Padrão  Edifício SHN | Asa Norte

Ex... 22/03/24",N/A,N/A,N/A,11 Vagas,571 m²,Asa Norte,https://img.dfimoveis.com.br/fotos/943999/1a05cdbcb693b4b9dcfab897b846152b.jpg?format=webp,['https://img.dfimoveis.com.br/fotos/943999/1a05cdbcb693b4b9dcfab897b846152b.jpg?format=webp'],Futura Negócios Imobiliários,2026-08-30T15:02:30.186693
dbbd4c4b29f7,dfimoveis_1416412,"SQNW 102 Bloco K, NOROESTE, BRASILIA",/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-102-bloco-k-1416412,16000,"NEVES TEIXEIRA IMÓVEIS ALUGA

Espetacular apartamento, totalmente mobiliado, decorado, de canto, com lindíssimo projeto ... 22/08/26",3 Quartos,2 Suítes,N/A,2 Vagas,120 m²,Noroeste,https://img.dfimoveis.com.br/fotos/1416412/f915093dcde4a2672cb67bbe35e427be.webp,['https://img.dfimoveis.com.br/fotos/1416412/f915093dcde4a2672cb67bbe35e427be.webp'],Neves Teixeira Imóveis,2026-08-30T15:02:30.192239
3420b3e1de39,dfimoveis_1161182,"SHS Quadra 4, ASA SUL, BRASILIA",/imovel/sala-0-quartos-aluguel-asa-sul-brasilia-df-shs-quadra-4-1161182,24000,"TH21922 - SUBSOLO PARA LOCAÇÃO COM 475m²  - Asa Sul - Brasília/DF

DESCONTO ESCALONADO IMPERDÍVEL, SENDO:

1º ano com 40... 13/05/25",N/A,N/A,N/A,10 Vagas,475 m²,Asa Sul,https://img.dfimoveis.com.br/fotos/1161182/5e4f55b06afc8906339f6aacf26b1948.webp,['https://img.dfimoveis.com.br/fotos/1161182/5e4f55b06afc8906339f6aacf26b1948.webp'],Thaís Imobiliária,2026-08-30T15:02:30.196537
aaa4ea506256,dfimoveis_1397364,"QE 42 Conjunto B, GUARA II, GUARA",/imovel/casa-3-quartos-aluguel-guara-ii-guara-df-qe-42-conjunto-b-1397364,3500,"Apresentamos um imóvel exclusivo que reúne versatilidade, excelente aproveitamento de espaço e alto potencial de valoriz... 16/07/26",3 Quartos,1 Suíte,N/A,N/A,230 m²,Guará,https://img.dfimoveis.com.br/fotos/1397364/b7b45e7034e60161192964a93acc44ec.webp,['https://img.dfimoveis.com.br/fotos/1397364/b7b45e7034e60161192964a93acc44ec.webp'],Abritta Inteligência Imobiliária,2026-08-30T15:02:30.216040
9fe7166b6cf5,dfimoveis_1377249,"Condomínio Prive Morada Sul Etapa C, JARDIM BOTANICO, BRASILIA",/imovel/casa-condominio-4-quartos-aluguel-jardim-botanico-brasilia-df-condominio-prive-morada-sul-etapa-c-1377249,8000,"Encante-se com esta belíssima casa térrea no Condomínio Privê Morada Sul Etapa C, localizada no Setor Habitacional Jardi... 03/07/26",4 Quartos,2 Suítes,N/A,4 Vagas,400 m²,Jardim Botânico,https://img.dfimoveis.com.br/fotos/1377249/d576aee9488e6cdce420b43eaa393813.webp,['https://img.dfimoveis.com.br/fotos/1377249/d576aee9488e6cdce420b43eaa393813.webp'],61 Imóveis,2026-08-30T15:02:30.218680
